customer_id,name,city,segment,signup_date
CUST0143,Mary Davis,New York,Premium,2026-02-21
CUST0144,James Miller,Chicago,Consumer,2026-01-29
CUST0145,Linda Brown,Chicago,Business,2026-03-21
CUST0146,William Moore,Houston,Consumer,2025-10-30
CUST0147,Joseph Moore,Houston,Business,2026-03-15
CUST0148,Linda Davis,Los Angeles,Consumer,2025-11-22
CUST0149,William Williams,Los Angeles,Business,2026-02-25
CUST0150,Jennifer Williams,Chicago,Premium,2026-02-27
CUST0151,Jennifer Davis,Philadelphia,Consumer,2025-11-27
CUST0152,Robert Davis,Chicago,Consumer,2026-03-11
CUST0153,Robert Wilson,Los Angeles,Business,2026-03-15
CUST0154,Susan Brown,Chicago,Consumer,2025-10-01
CUST0155,Joseph Brown,Phoenix,Business,2026-02-13
CUST0156,William Williams,Houston,Consumer,2025-11-29
CUST0157,Richard Jones,Houston,Business,2025-11-25
CUST0158,Mary Miller,Houston,Consumer,2026-02-23
CUST0159,John Brown,Philadelphia,Business,2025-12-29
CUST0160,Patricia Miller,Chicago,Premium,2026-01-25
CUST0161,Michael Garcia,New York,Business,2026-02-12
CUST0162,Barbara Garcia,New York,Premium,2026-01-07
CUST0163,Linda Brown,Houston,Consumer,2025-11-14
CUST0164,James Davis,Los Angeles,Business,2025-10-13
CUST0165,Jessica Johnson,Chicago,Business,2026-02-26
CUST0166,Linda Wilson,Houston,Consumer,2026-02-02
CUST0167,Patricia Garcia,New York,Consumer,2026-02-25
CUST0168,Robert Williams,Houston,Business,2026-03-09
CUST0169,Jennifer Wilson,New York,Business,2026-02-24
CUST0170,David Smith,Phoenix,Premium,2026-03-02
CUST0171,Barbara Wilson,Los Angeles,Consumer,2025-10-10
CUST0172,Jennifer Moore,Chicago,Consumer,2026-01-24
CUST0173,William Brown,Phoenix,Consumer,2026-01-04
CUST0174,Susan Johnson,Philadelphia,Consumer,2026-02-17
CUST0175,Robert Garcia,New York,Consumer,2026-01-25
CUST0176,James Williams,New York,Consumer,2026-01-10
CUST0177,Jennifer Smith,Los Angeles,Business,2026-01-02
CUST0178,Mary Moore,Los Angeles,Consumer,2026-02-24
CUST0179,Michael Moore,Chicago,Consumer,2026-03-12
CUST0180,Michael Miller,New York,Business,2025-11-20
CUST0181,Richard Johnson,Chicago,Consumer,2026-03-21
CUST0182,Barbara Johnson,New York,Consumer,2025-10-27
CUST0183,Michael Garcia,Phoenix,Business,2026-03-18
CUST0184,John Jones,Philadelphia,Consumer,2025-11-11
CUST0185,Richard Brown,Houston,Business,2026-03-22
CUST0186,Jennifer Wilson,New York,Consumer,2025-11-25
CUST0187,Robert Davis,Philadelphia,Consumer,2026-03-16
CUST0188,William Davis,Phoenix,Consumer,2025-12-24
CUST0189,Jessica Smith,Chicago,Business,2025-11-16
CUST0190,Joseph Jones,Chicago,Business,2026-01-24
CUST0191,Patricia Smith,New York,Consumer,2026-02-28
CUST0192,Linda Williams,Chicago,Consumer,2026-02-26
CUST0193,Jennifer Johnson,New York,Consumer,2025-11-04
CUST0194,Richard Brown,Chicago,Business,2026-02-12
CUST0195,William Williams,Philadelphia,Consumer,2026-01-06
CUST0196,Susan Moore,New York,Business,2025-10-16
CUST0197,Mary Miller,Chicago,Consumer,2025-12-05
CUST0198,Jessica Brown,Philadelphia,Consumer,2026-03-21
CUST0199,Mary Moore,Philadelphia,Business,2026-01-08
CUST0200,Barbara Smith,Philadelphia,Consumer,2026-03-02
