CustomerId,CustomerTypeId,CustomerRelationshipTypeId,DateOfBirth,CustomerEstablishedDate,IsActive,FirstName,LastName,Gender,PrimaryPhone,SecondaryPhone,PrimaryEmail,SecondaryEmail,CreatedBy,UpdatedBy,GoldLoadTimestamp
CID-016,Individual,Standard,1969-02-04,2019-03-11,True,Abbi,Atkins,Female,(330) 555-0197,None,abbi@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-017,Individual,VIP,1962-09-16,2019-03-16,True,Diana,Aunina,Male,(657) 555-0144,None,diana@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-018,Individual,Premium,1953-09-15,2019-03-20,True,Nils,Aunins,Female,(609) 555-0168,None,nils@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-019,Individual,VIP,1975-04-12,2019-03-25,True,Claude,Aupry,Male,(516) 555-0103,None,claude@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-020,Individual,VIP,1941-05-11,2019-03-29,True,Hasan,Aydin,Male,(425) 555-0122,None,hasan@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-021,Individual,Premium,1960-08-31,2019-04-03,True,Jonas,Baar,Male,(207) 555-0131,(314) 555-0277,jonas@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-022,Individual,Premium,1935-02-25,2019-04-08,True,Anna,Baginska,Female,(478) 555-0117,None,anna@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-023,Individual,VIP,1995-11-08,2019-04-12,True,Georgijs,Baltins,Male,(925) 555-0139,(251) 555-0214,georgijs@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-024,Individual,Premium,1924-05-19,2019-04-17,True,Malik,Barden,Male,(434) 555-0172,None,malik@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-025,Individual,Standard,1989-11-02,2019-04-22,True,Carmelo,Barese,Male,(815) 555-0173,(405) 555-0202,carmelo@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-026,Business,SMB,1958-01-26,2019-04-26,True,Rebecca,Baresi,Female,(773) 555-0105,None,rebecca@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-027,Individual,Standard,1993-05-05,2019-05-01,True,Genevieve,Beauchesne,Female,(503) 555-0162,None,genevieve@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-028,Individual,VIP,1976-01-09,2019-05-06,True,Claude,Beaulieu,Female,(478) 555-0110,(716) 555-0231,claude@contoso.com,claude@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-029,Individual,Premium,1929-11-10,2019-05-10,True,Robin,Becker,Male,(434) 555-0103,None,robin@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-030,Individual,Standard,1981-01-24,2019-05-15,True,Noel,Belisle,Male,(989) 555-0182,None,noel@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-031,Individual,Premium,1964-06-13,2019-05-19,True,Omar,Bennett,Male,(775) 555-0169,(267) 555-0261,omar@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-032,Individual,Premium,1952-09-09,2019-05-24,True,Kahsay,Bereket,Male,(973) 555-0121,(440) 555-0281,kahsay@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-033,Individual,Standard,1962-02-11,2019-05-29,True,Eden,Berhe,Female,(720) 555-0183,None,eden@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-034,Government,Local,1996-11-28,2019-06-02,True,Marie,Berthelette,Female,(608) 555-0110,None,marie@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-035,Government,State,1996-09-02,2019-06-07,True,Pol,Bertolich,Male,(870) 555-0102,None,pol@contoso.com,pol@fabrikam.com,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-036,Business,SMB,1990-08-25,2019-06-12,True,Francesca,Bianchi,Female,(401) 555-0186,None,francesca@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-037,Individual,Premium,1965-08-28,2019-06-16,True,Jausma,Bite,Male,(920) 555-0196,(769) 555-0277,jausma@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-038,Individual,Premium,1991-11-05,2019-06-21,True,Ales,Bizjak,Male,(224) 555-0172,None,ales@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-039,Individual,VIP,1981-06-05,2019-06-25,True,Jana,Blazkova,Female,(940) 555-0173,None,jana@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-040,Individual,Premium,1986-12-05,2019-06-30,True,Emma,Blug,Female,(409) 555-0146,None,emma@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-041,Individual,Premium,1928-08-13,2019-07-05,True,Gilbert,Bonsaint,Male,(352) 555-0146,None,gilbert@contoso.com,gilbert@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-042,Individual,VIP,1970-03-26,2019-07-09,True,Wojciech,Borkowski,Male,(904) 555-0186,None,wojciech@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-043,Individual,Standard,1959-02-08,2019-07-14,True,Maurice,Boule,Male,(254) 555-0124,None,maurice@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-044,Government,Local,1954-01-06,2019-07-19,True,Alexis,Bourgeois,Female,(843) 555-0124,None,alexis@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-045,Individual,Standard,1983-08-28,2019-07-23,True,Archie,Boyle,Male,(385) 555-0177,None,archie@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-046,Individual,Premium,1951-09-13,2019-07-28,True,Tomaz,Bozic,Male,(430) 555-0140,(559) 555-0203,tomaz@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-047,Individual,Premium,1974-05-10,2019-08-02,True,Danielle,Brasseur,Female,(240) 555-0177,None,danielle@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-048,Individual,Premium,1972-06-28,2019-08-06,True,Amala,Braun,Female,(508) 555-0147,None,amala@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-049,Individual,Standard,1956-10-25,2019-08-11,True,Leonie,Briegel,Female,(812) 555-0109,None,leonie@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-050,Individual,Standard,1976-10-10,2019-08-15,True,Quincy,Brooks,Male,(443) 555-0174,None,quincy@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-051,Government,Local,1946-07-31,2019-08-20,True,Angel,Brown,Female,(213) 555-0184,None,angel@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-052,Business,SMB,1997-12-07,2019-08-25,True,Camille,Brunelle,Female,(775) 555-0144,None,camille@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-053,Government,State,1986-11-17,2019-08-29,True,Filippa,Bruno,Female,(769) 555-0163,None,filippa@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-054,Business,SMB,1959-02-28,2019-09-03,True,Yuksel,Bulut,Male,(337) 555-0101,(740) 555-0268,yuksel@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-055,Individual,Standard,1954-03-16,2019-09-08,True,Pavel,Bures,Male,(515) 555-0141,None,pavel@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-056,Government,Federal,1969-07-10,2019-09-12,True,Jaroslava,Buresova,Female,(318) 555-0174,(458) 555-0285,jaroslava@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-057,Individual,Standard,1965-12-28,2019-09-17,True,Victoria,Burke,Female,(928) 555-0117,None,victoria@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-058,Individual,Premium,1962-06-04,2019-09-21,True,Klaus,Buzov,Male,(714) 555-0189,None,klaus@contoso.com,klaus@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-059,Individual,Premium,1963-02-04,2019-09-26,True,Martin,Cahua,Male,(601) 555-0105,(870) 555-0296,martin@contoso.com,martin@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-060,Individual,Standard,1982-12-22,2019-10-01,True,Tuna,Cakir,Male,(847) 555-0147,None,tuna@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-061,Individual,Premium,1998-06-26,2019-10-05,True,Quinn,Campbell,Female,(401) 555-0159,None,quinn@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-062,Individual,VIP,1981-02-14,2019-10-10,True,Seyhan,Can,Male,(860) 555-0101,None,seyhan@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-063,Business,Partner,1934-04-27,2019-10-15,True,Sam,Cantrell,Female,(951) 555-0178,(909) 555-0281,sam@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-064,Individual,Standard,1987-07-29,2019-10-19,True,Cataldo,Capon,Male,(364) 555-0106,(325) 555-0231,cataldo@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-065,Individual,VIP,1993-03-11,2019-10-24,True,Christian,Cartier,Male,(718) 555-0145,None,christian@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-066,Individual,Premium,1973-02-14,2019-10-29,True,Pere,Castellsegui,Male,(336) 555-0111,(814) 555-0259,pere@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-067,Individual,Standard,1995-01-03,2019-11-02,True,Gianni,Castiglione,Male,(580) 555-0142,None,gianni@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-068,Business,SMB,1960-07-29,2019-11-07,True,Hanife,Celik,Female,(219) 555-0162,(414) 555-0287,hanife@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-069,Individual,VIP,1947-02-15,2019-11-11,True,Izabella,Celma,Male,(878) 555-0180,(215) 555-0255,izabella@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-070,Government,Local,1977-11-27,2019-11-16,True,Sarmis,Celms,Male,(978) 555-0184,None,sarmis@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-071,Business,SMB,1955-08-28,2019-11-21,True,Hana,Cermakova,Female,(209) 555-0168,None,hana@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-072,Individual,Premium,1952-05-27,2019-11-25,True,Ivana,Cervenkova,Female,(419) 555-0179,None,ivana@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-073,Individual,Standard,1927-09-05,2019-11-30,True,Hacer,Cetin,Female,(978) 555-0127,None,hacer@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-074,Business,SMB,1945-10-28,2019-12-05,True,Alain,Charon,Male,(510) 555-0192,None,alain@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-075,Business,SMB,1965-03-17,2019-12-09,True,Alexandre,Chauvin,Male,(667) 555-0175,None,alexandre@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-076,Business,SMB,1987-02-15,2019-12-14,True,Josef,Cizek,Male,(463) 555-0129,None,josef@contoso.com,josef@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-077,Business,SMB,1972-08-28,2019-12-18,True,Hailey,Clark,Female,(609) 555-0115,(865) 555-0297,hailey@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-078,Individual,Standard,1982-05-08,2019-12-23,True,Bartomeu,Collelldemont,Male,(920) 555-0173,None,bartomeu@contoso.com,bartomeu@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-079,Individual,Premium,1953-02-20,2019-12-28,True,Diego,Conticini,Male,(361) 555-0151,None,diego@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-080,Individual,Standard,1970-12-21,2020-01-01,True,Hayden,Cook,Female,(518) 555-0136,None,hayden@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-081,Business,SMB,1943-04-14,2020-01-06,False,Liane,Cormier,Female,(954) 555-0166,None,liane@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-082,Individual,VIP,1969-07-17,2020-01-11,True,Pupetta,Costa,Female,(814) 555-0146,None,pupetta@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-083,Individual,Premium,1979-04-09,2020-01-15,True,Gilbert,Coupart,Male,(931) 555-0176,(720) 555-0267,gilbert@contoso.com,gilbert@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-084,Individual,Premium,1977-06-21,2020-01-20,True,Ingrid,Cranz,Female,(478) 555-0120,None,ingrid@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-085,Individual,Standard,1975-08-11,2020-01-24,True,Maciej,Czarnecki,Male,(337) 555-0136,None,maciej@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-086,Individual,Standard,1929-08-21,2020-01-29,True,Joanna,Dabrowska,Female,(251) 555-0154,(210) 555-0246,joanna@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-087,Business,SMB,1981-06-11,2020-02-03,True,Mikolaj,Dabrowski,Male,(954) 555-0119,None,mikolaj@contoso.com,mikolaj@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-088,Individual,Standard,1966-12-06,2020-02-07,True,Beca,Davies,Female,(947) 555-0169,(702) 555-0269,beca@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-089,Business,SMB,1935-06-19,2020-02-12,True,Alain,Davignon,Male,(630) 555-0101,None,alain@contoso.com,alain@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-090,Individual,Standard,1982-12-25,2020-02-17,True,Liam,Davis,Male,(808) 555-0115,None,liam@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-091,Individual,Standard,1984-06-22,2020-02-21,True,Benito,Dellucci,Male,(603) 555-0168,(339) 555-0253,benito@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-092,Business,SMB,1966-10-08,2020-02-26,True,Merve,Demir,Female,(254) 555-0144,(239) 555-0246,merve@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-093,Business,SMB,1966-02-01,2020-03-02,True,Isabelle,Deniger,Female,(931) 555-0186,(712) 555-0254,isabelle@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-094,Individual,Standard,1986-01-13,2020-03-06,True,Montserrat,Desriols,Female,(267) 555-0112,(334) 555-0229,montserrat@contoso.com,montserrat@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-095,Business,SMB,1977-07-02,2020-03-11,True,Esteve,Desvalls,Male,(804) 555-0199,None,esteve@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-096,Individual,Premium,1932-10-18,2020-03-15,True,Gabriel,Diaz,Male,(231) 555-0151,None,gabriel@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-097,Individual,Premium,1957-07-12,2020-03-20,True,Vlasta,Divisova,Female,(817) 555-0118,None,vlasta@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-098,Individual,Standard,1988-03-27,2020-03-25,True,Fadime,Dogan,Female,(281) 555-0169,None,fadime@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-099,Individual,Premium,1993-09-07,2020-03-29,True,Rene,Dolejsi,Female,(508) 555-0178,None,rene@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-100,Individual,Premium,1958-02-12,2020-04-03,True,Albert,Dubois,Male,(606) 555-0108,None,albert@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-101,Individual,Standard,1949-12-30,2020-04-08,True,Maciej,Dudek,Male,(970) 555-0103,None,maciej@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-102,Individual,VIP,1952-11-07,2020-04-12,True,Ewa,Dudzinska,Female,(314) 555-0181,None,ewa@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-103,Individual,VIP,1983-04-06,2020-04-17,True,Daina,Dumina,Male,(206) 555-0119,None,daina@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-104,Individual,Standard,1973-03-31,2020-04-21,False,Laimonis,Dumins,Male,(530) 555-0174,None,laimonis@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-105,Government,Local,1957-11-18,2020-04-26,True,Audrey,Dumoulin,Female,(631) 555-0121,None,audrey@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-106,Individual,Premium,1976-12-13,2020-05-01,True,Coralie,Duperre,Female,(972) 555-0176,None,coralie@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-107,Individual,Premium,1948-10-19,2020-05-05,True,Aline,Dupuy,Female,(571) 555-0194,None,aline@contoso.com,aline@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-108,Business,SMB,1942-08-29,2020-05-10,True,Dominique,Dutertre,Male,(567) 555-0167,None,dominique@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-109,Individual,Standard,1967-03-12,2020-05-15,True,Zdenek,Dvorak,Male,(605) 555-0193,(321) 555-0243,zdenek@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-110,Individual,Standard,1981-03-22,2020-05-19,True,Niks,Dzenis,Female,(619) 555-0134,(505) 555-0200,niks@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-111,Individual,Premium,1958-11-03,2020-05-24,True,Logan,Edwards,Male,(716) 555-0130,None,logan@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-112,Individual,Premium,1948-03-29,2020-05-29,True,Simons,Eglitis,Female,(432) 555-0152,None,simons@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-113,Government,Local,1984-01-07,2020-06-02,True,Werner,Eitner,Male,(970) 555-0165,(702) 555-0200,werner@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-114,Business,SMB,1969-05-31,2020-06-07,True,Daniel,Elfyn,Male,(714) 555-0109,(218) 555-0260,daniel@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-115,Individual,Premium,1975-04-05,2020-06-11,True,Bethan,Elis,Female,(559) 555-0165,None,bethan@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-116,Business,SMB,1955-04-28,2020-06-16,True,Turgay,Elmas,Male,(929) 555-0195,(339) 555-0299,turgay@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-117,Business,SMB,1950-03-09,2020-06-21,True,Elke,Endemann,Female,(601) 555-0115,None,elke@contoso.com,elke@fabrikam.com,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-118,Individual,Premium,1946-02-04,2020-06-25,True,YishaK,Epherem,Male,(859) 555-0130,None,yishak@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-119,Business,Premier,1965-04-06,2020-06-30,True,Tatjana,Erjavec,Female,(479) 555-0187,None,tatjana@contoso.com,tatjana@fabrikam.com,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-120,Individual,Premium,1948-03-26,2020-07-05,True,Quarantino,Esposito,Male,(551) 555-0110,None,quarantino@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-121,Business,SMB,1934-03-13,2020-07-09,True,Jamie,Evans,Female,(205) 555-0170,(480) 555-0278,jamie@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-122,Business,SMB,1978-01-03,2020-07-14,True,Giselle,Faber,Female,(432) 555-0180,None,giselle@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-123,Individual,Standard,1963-07-10,2020-07-18,True,Giorgia,Fanucci,Female,(810) 555-0174,None,giorgia@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-124,Individual,Premium,1985-02-23,2020-07-23,True,Amleset,Fitwi,Female,(310) 555-0191,None,amleset@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-125,Individual,Standard,1961-09-30,2020-07-28,True,Annette,Flamand,Female,(704) 555-0170,None,annette@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-126,Individual,Standard,1952-08-07,2020-08-01,True,Elizabeth,Flores,Female,(478) 555-0123,None,elizabeth@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-127,Business,SMB,1997-07-06,2020-08-06,True,Sara,Folgueroles,Female,(909) 555-0118,None,sara@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-128,Business,SMB,1974-09-28,2020-08-11,True,Carme,Fontbernat,Female,(985) 555-0149,(407) 555-0211,carme@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-129,Individual,Standard,1962-05-31,2020-08-15,True,Michal,Formanek,Male,(657) 555-0174,None,michal@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-130,Individual,Standard,1987-08-04,2020-08-20,True,Renata,Fuchsova,Female,(725) 555-0111,None,renata@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-131,Individual,Standard,1931-11-10,2020-08-25,True,Isabel,Garcia,Female,(725) 555-0126,None,isabel@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-132,Individual,Standard,1985-10-29,2020-08-29,True,Amelie,Garner,Female,(706) 555-0165,(323) 555-0269,amelie@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-133,Individual,VIP,1969-09-01,2020-09-03,True,Niklas,Gasper,Male,(601) 555-0101,None,niklas@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-134,Individual,Premium,1991-11-12,2020-09-07,True,Hiwot,Gebre Gergis,Female,(706) 555-0129,(435) 555-0222,hiwot@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-135,Government,State,1979-12-25,2020-09-12,True,Aberehet,Gebre Tsadik,Female,(410) 555-0137,None,aberehet@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-136,Individual,Premium,1952-05-12,2020-09-17,True,Lelia,Genovese,Female,(952) 555-0124,(307) 555-0226,lelia@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-137,Individual,Premium,1950-08-12,2020-09-21,True,Wolde Mariam,Girmay,Male,(434) 555-0109,None,wolde mariam@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-138,Business,SMB,1952-06-12,2020-09-26,True,Meaza,Goitom,Female,(985) 555-0196,(484) 555-0254,meaza@contoso.com,None,Sales,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-139,Individual,Premium,1979-02-14,2020-10-01,True,Milan,Golob,Male,(304) 555-0146,None,milan@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-140,Government,State,1962-04-26,2020-10-05,True,Mateo,Gomez,Male,(860) 555-0179,None,mateo@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
CID-141,Government,State,1964-06-05,2020-10-10,True,Aaron,Gonzales,Male,(843) 555-0121,(319) 555-0296,aaron@contoso.com,None,Services,Source_Data_Loader,2025-08-26 22:25:32.671411
